PostalCode,HubID,LMR,CourierId
0708,RUS,Regional,courier_a
0709,PTG,Regional,courier_a
0710,PTG,Regional,courier_a
0711,PTG,Regional,courier_a
0712,PTG,Regional,courier_a
0713,PTG,Regional,courier_a
0714,PTG,Regional,courier_a
0715,PTG,Regional,courier_a
0716,PTG,Regional,courier_a
0717,PTG,Regional,courier_a
0718,PTG,Regional,courier_a
0719,PTG,Regional,courier_a
0720,PTG,Regional,courier_a
0721,PTG,Regional,courier_a
0722,PTG,Regional,courier_a
0723,PTG,Regional,courier_a
0724,PTG,Regional,courier_a
0725,PTG,Regional,courier_a
0726,PTG,Regional,courier_a
0727,PTG,Regional,courier_a
0728,PTG,Regional,courier_a
0729,PTG,Regional,courier_a
0730,PTG,Regional,courier_a
0731,PTG,Regional,courier_a
0732,PTG,Regional,courier_a
0733,PTG,Regional,courier_a
0734,PTG,Regional,courier_a
0735,PTG,Regional,courier_a
0736,PTG,Regional,courier_a
0737,PTG,Regional,courier_a
0738,PTG,Regional,courier_a
0739,PTG,Regional,courier_a
0740,PTG,Regional,courier_a
0741,PTG,Regional,courier_a
0742,PTG,Main,courier_a
0743,PTG,Regional,courier_a
0744,PTG,Regional,courier_a
0745,PTG,Regional,courier_a
0746,PTG,Regional,courier_a
0747,PTG,Regional,courier_a
0748,PTG,Regional,courier_a
0749,PTG,Regional,courier_a
0750,PTG,Main,courier_a
0751,PTG,Regional,courier_a
0752,PTG,Regional,courier_a
0753,PTG,Regional,courier_a
0754,PTG,Regional,courier_a
0755,PTG,Regional,courier_a
0756,PTG,Regional,courier_a
0757,PTG,Regional,courier_a
0758,PTG,Regional,courier_a
0759,PTG,Regional,courier_a
0760,PTG,Regional,courier_a
0761,PTG,Regional,courier_a
0762,PTG,Regional,courier_a
0763,PTG,Regional,courier_a
0764,PTA,Regional,courier_a
0765,PTG,Regional,courier_a
0766,PTG,Regional,courier_a
0767,PTG,Regional,courier_a
0768,PTG,Regional,courier_a
0769,PTG,Regional,courier_a
0770,PTG,Regional,courier_a
0771,PTG,Regional,courier_a
0772,PTG,Regional,courier_a
0773,PTG,Regional,courier_a
0774,PTG,Regional,courier_a
0775,PTG,Regional,courier_a
0776,PTG,Regional,courier_a
0777,PTG,Regional,courier_a
0778,PTG,Regional,courier_a
0779,PTG,Regional,courier_a
0780,PTG,Regional,courier_a
0781,PTG,Regional,courier_a
0782,PTG,Regional,courier_a
0783,PTG,Regional,courier_a
0784,PTG,Regional,courier_a
0785,PTG,Regional,courier_a
0786,PTG,Regional,courier_a
0787,PTG,Regional,courier_a
